Setup,Punishment,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,Alpha,Beta,First 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Safe Fail,Last 10 Avg Safe Fail,First 10 Avg Task Fail,Last 10 Avg Task Fail
2,1000,-118.75626,-268.38837,0,9315,0.0656934306569343,9893,0.0392960703929607,0.3024631884390738,0.358149965625,0.0148420094269799,0.0095673963921156,-6.941042966936124,-75.86957816900127,,,,,,,,,,
2,1000,-111.34435,-357.35385,0,9965,0.0614938506149385,9656,0.0374962503749625,0.3146780884213022,0.29486804625,0.0140177757099016,0.0095744990570236,-6.201391295420887,-126.82389946532211,,,,,,,,,,
4,20,-55.190956,-98.453964,0,9850,0.0557944205579442,9324,0.0337966203379662,0.3061916665289541,0.36789478875,0.0148308356357577,0.0103556266241356,-2.41424671782219,-25.45235976305742,,,,,,,,,,
4,20,-39.539776,-80.56444,0,9803,0.0535946405359464,9759,0.0332966703329667,0.2951120182271438,0.310719291875,0.0162275095461142,0.0113783999432209,-2.403165525125881,-24.324673710126785,,,,,,,,,,
4,20,-40.05323,-86.4817,0,8517,0.0644935506449355,8004,0.0403959604039596,0.3132262091687711,0.487377485,0.0151520845039478,0.0175169699372609,-2.421155330333072,-27.635688458873705,,,,,,,,,,
4,20,-50.853653,-106.94646,0,9953,0.0548945105489451,9789,0.0352964703529647,0.2476480870783734,0.1708440275,0.022677044384569,0.0208709580432754,-2.350339453057768,-22.457337290319707,,,,,,,,,,
4,20,-51.818867,-97.70159,0,9998,0.0558944105589441,9963,0.0393960603939606,0.2301149036340579,0.2145664318749999,0.0283714902730171,0.0221507823285962,-2.3331935948475317,-23.22561420801229,,,,,,,,,,
4,200,-56.237293,-94.921074,0,9982,0.0525947405259474,9412,0.0290970902909709,0.303662166027485,0.376136208125,0.0158088766541825,0.0122506240290157,-2.4150073034281077,-25.9284296187107,,,,,,,,,,
4,200,-49.27795,-79.64845,0,9961,0.0520947905209479,9752,0.0297970202979702,0.2717729007214326,0.3571424549999999,0.0207764946209897,0.0148307774207071,-2.3798887476169654,-25.382722772257893,,,,,,,,,,
4,200,-53.564583,-110.36387,0,9981,0.0486951304869513,9559,0.031996800319968,0.2633318018069717,0.29515029375,0.0163792661156908,0.0065236482537215,-2.364155027421176,-24.153199323789636,,,,,,,,,,
6,15,-30.72461,-58.263268,0,9721,0.0568943105689431,9415,0.0360963903609639,0.2992549602909689,0.3155390299999999,0.0155363512403659,0.0125062782339211,-1.4213515804068386,-14.332924805037036,,,,,,,,,,
6,15,-32.26135,-42.789204,0,9899,0.0590940905909409,9707,0.0403959604039596,0.3103716422493692,0.20834135625,0.0147205603611595,0.0112645715944149,-1.4324054737222274,-12.540338590841808,,,,,,,,,,
6,15,-26.763845,-57.55415,0,9975,0.0556944305569443,9975,0.0351964803519648,0.3027335402688837,0.383119145,0.0156503594198582,0.0098157084888663,-1.4244495125676924,-15.522458323178876,,,,,,,,,,
6,15,-32.846806,-84.158264,0,9441,0.0545945405459454,9916,0.0360963903609639,0.3105998906479406,0.41335124,0.0150701864512094,0.0090593297113761,-1.4339500285051197,-16.047435137097246,,,,,,,,,,
6,15,-29.542051,-68.19329,0,9952,0.0612938706129387,9904,0.0387961203879612,0.23682163632975,0.5197879731249999,0.0264964526080155,0.0182784012956615,-1.3532357516823117,-18.60538232827316,,,,,,,,,,
6,150,-28.558197,-56.310524,0,9951,0.0568943105689431,9994,0.02999700029997,0.2434284177645938,0.202834321875,0.0256322158524463,0.0344579126259702,-1.3633195148646733,-13.044123572267768,,,,,,,,,,
6,150,-32.517902,-49.27505,0,9728,0.0552944705529447,9992,0.0312968703129687,0.3171460565629587,0.2773255463666667,0.0134394485895422,0.0305781010172265,-1.4402961536737495,-13.869938418731431,,,,,,,,,,
6,150,-32.679977,-65.15894,0,9817,0.050994900509949,8940,0.0307969203079692,0.3102547258822397,0.346182105,0.0145458192536419,0.0102641390748159,-1.434131166895236,-14.637536905008028,,,,,,,,,,
8,10,-14.278052,-12.658636,0,10000,0.5603439656034397,9999,0.3355664433556644,0.1378814345462011,0.1492171476666667,0.0503238471808713,0.0439336433105997,0.7268128702866055,8.317242688925818,,,,,,,,,,
8,10,-11.907617,-12.23825,0,10001,0.575942405759424,9999,0.3297670232976702,0.1373517437333856,0.1811973991666667,0.050463339454484,0.0747276816386701,0.7277559483595945,17.03372335330398,,,,,,,,,,
8,10,-13.077977,-28.816223,0,10001,0.5633436656334366,9996,0.3263673632636736,0.1356153651941184,0.1773274901666666,0.0509159001622788,0.0319766207493492,0.7295180002548961,17.277703238693938,,,,,,,,,,
8,10,-13.523621,-12.553259,0,9998,0.5648435156484352,9998,0.3354664533546645,0.1358760911719307,0.2426589345166666,0.0505789168811383,0.0582325621432003,0.7277776482156395,7.718622994881237,,,,,,,,,,
8,10,-14.110251,-13.999852,0,9999,0.563943605639436,10000,0.3302669733026697,0.1373959962187687,0.113185423805238,0.0503595608075232,0.0608330758653552,0.7289468033143397,8.454903280901412,,,,,,,,,,
8,100,-39.30495,-103.962296,0,10000,0.4168583141685831,10001,0.3668633136686331,0.1174441997533647,0.1773851462647619,0.0591748154376699,0.052765188914841,0.754575647424569,107.14866211914394,,,,,,,,,,
8,100,-41.49485,-6.482362,0,10000,0.4097590240975902,9999,0.3577642235776422,0.1169594906342869,0.1967657012416666,0.0595907674977667,0.0431391795467918,0.7565328310255879,8.14935319712837,,,,,,,,,,
8,100,-33.22275,-75.8077,0,10000,0.4234576542345765,10001,0.3590640935906409,0.1207545543433948,0.0616064673,0.0592801405389436,0.078417059879699,0.7530349487326937,107.7072865650721,,,,,,,,,,
